method,recall,qps,sec,build_s
"LC, 1T",0.9995,23657.090484202672,0.008454124996205792,1.6282761660113465
"LC, HW threads",0.9995,40358.17882531006,0.00495562500145752,1.6282761660113465
faiss.FlatIP 1T,0.9995,35045.96544440985,0.005706790994736366,0.015722249998361804
faiss.FlatIP HW,0.9995,47357.82418305598,0.004223166994052008,0.015722249998361804
faiss.IVFFlat np=10 1T,0.931,15678.64054711051,0.012756208001519553,0.044265249991440214
faiss.IVFFlat np=10 HW,0.931,42201.509304993946,0.004739166994113475,0.044265249991440214
faiss.IVFFlat np=32 1T,0.9875,5719.0312023027045,0.03497095800412353,0.0430120000091847
faiss.IVFFlat np=32 HW,0.9875,15019.52538655268,0.013315999996848404,0.0430120000091847
hnswlib ef=64 1T,0.9935,2864.1241596641003,0.06982937500288244,1.5770443750079721
hnswlib ef=64 HW,0.9935,17275.819256911076,0.01157687499653548,1.5770443750079721
hnswlib ef=128 1T,0.998,1646.2864499423422,0.12148554099258035,1.5662065829965286
hnswlib ef=128 HW,0.998,8736.326612528774,0.022892916997079737,1.5662065829965286
